      pressure observation  flag
568            1007.039978  b'Z'
569            1007.030029  b'Z'
570            1007.020020  b'Z'
571            1006.960022  b'Z'
572            1006.929993  b'Z'
573            1006.849976  b'Z'
574            1006.840027  b'Z'
575            1006.780029  b'Z'
576            1006.719971  b'Z'
577            1006.669983  b'Z'
578            1006.650024  b'Z'
579            1006.679993  b'Z'
580            1006.690002  b'Z'
581            1006.690002  b'Z'
582            1006.739990  b'Z'
583            1006.729980  b'Z'
584            1006.729980  b'Z'
585            1006.789978  b'Z'
586            1006.789978  b'Z'
587            1006.780029  b'Z'
588            1006.799988  b'Z'
589            1006.849976  b'Z'
590            1006.859985  b'Z'
591            1006.859985  b'Z'
592            1006.859985  b'Z'
593            1006.880005  b'Z'
594            1006.809998  b'Z'
595            1006.830017  b'Z'
596            1006.869995  b'Z'
597            1006.869995  b'Z'
598            1006.900024  b'Z'
599            1006.940002  b'Z'
600            1006.989990  b'Z'
601            1007.020020  b'Z'
602            1006.880005  b'Z'
603            1007.090027  b'Z'
604            1007.109985  b'Z'
605            1007.119995  b'Z'
606            1007.099976  b'Z'
607            1007.179993  b'Z'
608            1007.179993  b'Z'
609            1007.210022  b'Z'
610            1007.210022  b'Z'
611            1007.200012  b'Z'
612            1007.229980  b'Z'
613            1007.239990  b'Z'
614            1007.239990  b'Z'
615            1007.229980  b'Z'
616            1007.270020  b'Z'
617            1007.239990  b'Z'
618            1007.299988  b'Z'
619            1007.340027  b'Z'
620            1007.330017  b'Z'
621            1007.309998  b'Z'
622            1007.330017  b'Z'
623            1007.309998  b'Z'
624            1007.309998  b'Z'
625            1007.270020  b'Z'
626            1007.239990  b'Z'
627            1007.280029  b'Z'
628            1007.260010  b'Z'
629            1007.280029  b'Z'
630            1007.210022  b'Z'
631            1007.239990  b'Z'
632            1007.229980  b'Z'
633            1007.200012  b'Z'
634            1007.210022  b'Z'
635            1007.229980  b'Z'
636            1007.239990  b'Z'
637            1007.250000  b'Z'
638            1007.260010  b'Z'
639            1007.270020  b'Z'
640            1007.219971  b'Z'
641            1007.229980  b'Z'
642            1007.200012  b'Z'
